GIAI ĐOẠN 1: AI DATA FOUNDATION (15/04 - 28/04),Ngày tháng,Thứ,Nội dung chính,Trạng thái,,🚀 Đang học
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,Trạng thái,,
Day 1,15/04/2026,T4,"venv, PEP 8, Biến & Type Hinting, F-strings.",✅ Done,,
Day 2,16/04/2026,T5,"Luồng điều khiển (if/else, for/while), try/except.",✅ Done,,
Day 3,17/04/2026,T6,"Hàm (def), Tham số, return, Scope (Phạm vi).",✅ Done,,
Day 4,20/04/2026,T2,"Cấu trúc I: List, Tuple, Set (Lọc trùng, Hiệu suất).",✅ Done,,
Day 5,21/04/2026,T3,"Cấu trúc II: Dictionary, Lồng cấu trúc dữ liệu.",✅ Done,,
Day 6,22/04/2026,T4,"String nâng cao (Slicing, Methods) & Số học.",✅ Done,được dùng để phân chia công việc cho các Ai ,
Day 7,23/04/2026,T5,"Làm việc với File (.txt, .csv) bằng with open.",✅ Done,"đang test để sử dụng lưu trữ = file , sau này update lên lưu trữ dữ liệu = database ",
Day 8,24/04/2026,T6,"Thư viện chuẩn: os, sys, datetime, math.",✅ Done,thêm .gitinore trước khi upload git,
Day 9,27/04/2026,T2,"Debugging: Print, IDE Debugger, Traceback.",✅ Done,,
Day 10,28/04/2026,T3,TEST PHASE 1 (60 Câu) & PROJECT: Dataset Cleaner.,✅ Done,,
GIAI ĐOẠN 2: PYTHONIC & DATA SCALING (29/04 - 12/05),25/04/2026,Thứ 7,Nghỉ ngơi,,,
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,,,
Day 11,29/04/2026,T4,List/Dict Comprehensions (Viết code tối giản).,✅ Done,Áp dụng lọc bài thô và khởi tạo đối tượng nhanh trong scrapers.py,
Day 12,30/04/2026,T5,Lambda Function (Hàm ẩn danh).,✅ Done,Dùng sort key theo ngày tháng trong cleaner.py,
Day 13,01/05/2026,T6,"Map, Filter, Reduce - Functional Programming.",✅ Done,,
Day 14,04/05/2026,T2,"Module collections (NamedTuple, defaultdict).",✅ Done,Dùng defaultdict thống kê nguồn tin/analytics trong storage.py,
Day 15,05/05/2026,T3,Độ phức tạp thời gian (Big-O Notation).,🚀 Đang học,,
Day 16,06/05/2026,T4,Tìm kiếm nhị phân & Thuật toán sắp xếp cơ bản.,,,
Day 17,07/05/2026,T5,Xử lý JSON & Thư viện requests (API).,✅ Done,Phân tích cấu trúc JSON từ Reddit API và Gemini response,
Day 18,08/05/2026,T6,Regular Expressions (Regex) nâng cao.,✅ Done,Quét thực thể tự động gắn tag và làm sạch ký tự lạ trong cleaner.py,
Day 19,11/05/2026,T2,Kiến trúc Module và Package (Quản lý dự án).,✅ Done,Thiết lập chuẩn hóa phân lớp Multi-layer Backend (Domain/Application/Infrastructure/WebApi),
Day 20,12/05/2026,T3,TEST PHASE 2 (60 Câu) & PROJECT: News Corpus Collector.,✅ Done,Hoàn thành móng thu thập tin tức tự động,
GIAI ĐOẠN 3: LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG - OOP (13/05 - 26/05),07/05 - 11/05,T5-T2,"API Requests, JSON, Regex, Module/Package.",,,
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,,,
Day 21,13/05/2026,T4,Class & Object: Bản thiết kế và Thực thể.,✅ Done,Thiết kế các class riêng biệt cho Scraper/Cleaner/Storage/AI,
Day 22,14/05/2026,T5,Instance Attributes & Instance Methods.,✅ Done,Quản lý state độc lập (e.g. cache hệ thống AI và bộ đếm làm sạch),
Day 23,15/05/2026,T6,Tính kế thừa (Inheritance).,✅ Done,Kế thừa lớp trừu tượng chung BaseAgent,
Day 24,18/05/2026,T2,Tính đa hình (Polymorphism) & Đóng gói.,✅ Done,Thống nhất hàm execute(ctx) hỗ trợ hoán đổi Agent linh hoạt,
Day 25,19/05/2026,T3,"Dunder Methods (__str__, __repr__, __call__).",✅ Done,Ghi đè __str__ và __repr__ giúp in log chuyên nghiệp cho Article và Agent,
Day 26,20/05/2026,T4,"@classmethod, @staticmethod & @property.",✅ Done,Xây dựng cơ chế đăng ký tự động @classmethod trong AgentFactory,
Day 27,21/05/2026,T5,Tính trừu tượng (Abstract Classes).,✅ Done,Định nghĩa ABC và @abstractmethod bắt buộc triển khai ở lớp Application,
Day 28,22/05/2026,T6,Dataclasses (Lưu trữ dữ liệu AI thông minh).,✅ Done,Sử dụng @dataclass cho Article và PipelineContext trong models.py,
Day 29,25/05/2026,T2,Design Patterns: Singleton và Factory.,✅ Done,Mô hình AgentFactory tự đăng ký triệt để thỏa mãn nguyên lý OCP,
Day 30,26/05/2026,T3,TEST PHASE 3 (60 Câu) & PROJECT: Neural Network Blueprint.,✅ Done,Kiến trúc OOP SOLID hoàn hảo,
GIAI ĐOẠN 4: SENIOR STYLE - ADVANCED PYTHON (27/05 - 09/06),,,,,,
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,,,
Day 31,27/05/2026,T4,Iterators & Iterables: Cơ chế duyệt dữ liệu.,✅ Done,Duyệt luồng bài báo qua các vòng lặp và slicing an toàn,
Day 32,28/05/2026,T5,Generators & yield: Xử lý dữ liệu hàng tỷ dòng.,🚀 Đang học,Chuẩn bị cho tối ưu hóa dữ liệu luồng lớn,
Day 33,29/05/2026,T6,Decorators I: Thay đổi hành vi hàm.,✅ Done,Xây dựng bộ theo dõi thời gian @ai_timer,
Day 34,01/06/2026,T2,Decorators II: Ứng dụng Timer/Logging AI.,✅ Done,Tự động hóa ghi nhận vòng đời API qua @ai_logger,
Day 35,02/06/2026,T3,Context Managers & Câu lệnh with.,✅ Done,Quản lý tài nguyên file I/O và kết nối mạng HTTPX an toàn,
Day 36,03/06/2026,T4,Quản lý bộ nhớ & Garbage Collection.,🚀 Đang học,,
Day 37,04/06/2026,T5,Metaprogramming cơ bản (Introspection).,,,
Day 38,05/06/2026,T6,Enums & Advanced Type Hinting (Generics).,✅ Done,Định nghĩa lớp trạng thái thị trường Sentiment(Enum),
Day 39,08/06/2026,T2,Thư viện itertools và functools.,✅ Done,Sử dụng functools.wraps bảo toàn siêu dữ liệu decorator,
Day 40,09/06/2026,T3,TEST PHASE 4 (60 Câu) & PROJECT: Large Data Streamer.,🚀 Đang học,,
GIAI ĐOẠN 5: TỐI ƯU HÓA ĐA NHÂN (10/06 - 23/06),,,,,,
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,,,
Day 41,10/06/2026,T4,Phân biệt CPU-bound và I/O-bound tasks.,🚀 Đang học,,
Day 42,11/06/2026,T5,Threading (Đa luồng) xử lý Network/File.,🚀 Đang học,,
Day 43,12/06/2026,T6,Global Interpreter Lock (GIL) trong Python.,🚀 Đang học,,
Day 44,15/06/2026,T2,Multiprocessing (Đa tiến trình đa nhân CPU).,,,
Day 45,16/06/2026,T3,Asyncio I: Lập trình bất đồng bộ.,✅ Done,Tận dụng vòng lặp sự kiện giải quyết I/O mạng,
Day 46,17/06/2026,T4,Asyncio II: async/await với httpx.,✅ Done,Cào tin đồng thời 3 nguồn qua asyncio.gather giảm 70% thời gian chờ,
Day 47,18/06/2026,T5,Profiling: Đo đạc tốc độ từng dòng code.,,,
Day 48,19/06/2026,T6,Tối ưu thuật toán & C-extensions (Cython).,,,
Day 49,22/06/2026,T2,Unit Testing chuyên nghiệp với pytest.,,,
Day 50,23/06/2026,T3,TEST PHASE 5 (60 Câu) & PROJECT: Parallel Extractor.,,,
GIAI ĐOẠN 6: THỰC CHIẾN DEPLOYMENT (24/06 - 07/07),,,,,,
Lộ trình,Ngày tháng,Thứ,Nội dung chi tiết,,,
Day 51,24/06/2026,T4,SQL cơ bản (SQLite/PostgreSQL).,,,
Day 52,25/06/2026,T5,SQLAlchemy (ORM): Quản lý DB bằng Python.,,,
Day 53,26/06/2026,T6,FastAPI I: Khởi tạo Web API đầu tiên.,,,
Day 54,29/06/2026,T2,"FastAPI II: Validation, Middleware & Auth.",,,
Day 55,30/06/2026,T3,Tích hợp Database vào FastAPI (Full CRUD).,,,
Day 56,01/07/2026,T4,Docker I: Đóng gói ứng dụng vào Image.,,,
Day 57,02/07/2026,T5,Docker II: Docker Compose (Web + DB).,,,
Day 58,03/07/2026,T6,Triển khai ứng dụng lên Cloud (AWS/Render).,,,
Day 59,06/07/2026,T2,CI/CD: Tự động hóa với GitHub Actions.,,,
Day 60,07/07/2026,T3,TEST FINAL (60 Câu) & FINAL PROJECT: AI Inference Portal.,,,
,,,,,,
"Cuối mỗi Phase sẽ có 1 bài kiểm tra 30 câu cơ bản , 30 câu nâng cao về nội dung từng phase ",,,,,,
Ngoài ra sẽ có các project cuối mỗi phase,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"tạo Agent AI về nhu cầu side project ,tự tìm tất cả topic trên youtube và tóm tắt các nội dung ,các node đang chú ý ",,,,,,
